x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
-6.062902040270741e-6,-0.0017589647236209806,-0.0017589647236209806,-0.0017589647236209806,-0.0017589647236209806,-0.0017589647236209806,-0.0017589647236209806,-0.0017589647236209806,-0.0017589647236209806,-0.0017589647236209806,-0.0017589647236209806,-0.0017589647236209806,-0.0017589647236209806,-0.0017589647236209806,-0.0017589647236209806,-0.0017589647236209806,-0.0017589647236209806,-0.0017589647236209806,-0.0017589647236209806,-0.0017589647236209806,-0.0017589647236209806
-8.876694877160396e-6,-0.0021283935082701453,-0.0021283935082701453,-0.0021283935082701453,-0.0021283935082701453,-0.0021283935082701453,-0.0021283935082701453,-0.0021283935082701453,-0.0021283935082701453,-0.0021283935082701453,-0.0021283935082701453,-0.0021283935082701453,-0.0021283935082701453,-0.0021283935082701453,-0.0021283935082701453,-0.0021283935082701453,-0.0021283935082701453,-0.0021283935082701453,-0.0021283935082701453,-0.0021283935082701453,-0.0021283935082701453
-1.257203367070541e-5,-0.0025330243823373884,-0.0025330243823373884,-0.0025330243823373884,-0.0025330243823373884,-0.0025330243823373884,-0.0025330243823373884,-0.0025330243823373884,-0.0025330243823373884,-0.0025330243823373884,-0.0025330243823373884,-0.0025330243823373884,-0.0025330243823373884,-0.0025330243823373884,-0.0025330243823373884,-0.0025330243823373884,-0.0025330243823373884,-0.0025330243823373884,-0.0025330243823373884,-0.0025330243823373884,-0.0025330243823373884
-1.7316254517217274e-5,-0.0029728623619931886,-0.0029728623619931886,-0.0029728623619931886,-0.0029728623619931886,-0.0029728623619931886,-0.0029728623619931886,-0.0029728623619931886,-0.0029728623619931886,-0.0029728623619931886,-0.0029728623619931886,-0.0029728623619931886,-0.0029728623619931886,-0.0029728623619931886,-0.0029728623619931886,-0.0029728623619931886,-0.0029728623619931886,-0.0029728623619931886,-0.0029728623619931886,-0.0029728623619931886,-0.0029728623619931886
-2.3291244477904085e-5,-0.0034479128992382425,-0.0034479128992382425,-0.0034479128992382425,-0.0034479128992382425,-0.0034479128992382425,-0.0034479128992382425,-0.0034479128992382425,-0.0034479128992382425,-0.0034479128992382425,-0.0034479128992382425,-0.0034479128992382425,-0.0034479128992382425,-0.0034479128992382425,-0.0034479128992382425,-0.0034479128992382425,-0.0034479128992382425,-0.0034479128992382425,-0.0034479128992382425,-0.0034479128992382425,-0.0034479128992382425
-3.069344157887063e-5,-0.003958181881813382,-0.003958181881813382,-0.003958181881813382,-0.003958181881813382,-0.003958181881813382,-0.003958181881813382,-0.003958181881813382,-0.003958181881813382,-0.003958181881813382,-0.003958181881813382,-0.003958181881813382,-0.003958181881813382,-0.003958181881813382,-0.003958181881813382,-0.003958181881813382,-0.003958181881813382,-0.003958181881813382,-0.003958181881813382,-0.003958181881813382,-0.003958181881813382
-3.973383481111834e-5,-0.004503675633102104,-0.004503675633102104,-0.004503675633102104,-0.004503675633102104,-0.004503675633102104,-0.004503675633102104,-0.004503675633102104,-0.004503675633102104,-0.004503675633102104,-0.004503675633102104,-0.004503675633102104,-0.004503675633102104,-0.004503675633102104,-0.004503675633102104,-0.004503675633102104,-0.004503675633102104,-0.004503675633102104,-0.004503675633102104,-0.004503675633102104,-0.004503675633102104
-5.063796413054526e-5,-0.0050844009120256575,-0.0050844009120256575,-0.0050844009120256575,-0.0050844009120256575,-0.0050844009120256575,-0.0050844009120256575,-0.0050844009120256575,-0.0050844009120256575,-0.0050844009120256575,-0.0050844009120256575,-0.0050844009120256575,-0.0050844009120256575,-0.0050844009120256575,-0.0050844009120256575,-0.0050844009120256575,-0.0050844009120256575,-0.0050844009120256575,-0.0050844009120256575,-0.0050844009120256575,-0.0050844009120256575
-6.364592045794616e-5,-0.0057003649129306775,-0.0057003649129306775,-0.0057003649129306775,-0.0057003649129306775,-0.0057003649129306775,-0.0057003649129306775,-0.0057003649129306775,-0.0057003649129306775,-0.0057003649129306775,-0.0057003649129306775,-0.0057003649129306775,-0.0057003649129306775,-0.0057003649129306775,-0.0057003649129306775,-0.0057003649129306775,-0.0057003649129306775,-0.0057003649129306775,-0.0057003649129306775,-0.0057003649129306775,-0.0057003649129306775
-7.901234567901235e-5,-0.0063515752654692715,-0.0063515752654692715,-0.0063515752654692715,-0.0063515752654692715,-0.0063515752654692715,-0.0063515752654692715,-0.0063515752654692715,-0.0063515752654692715,-0.0063515752654692715,-0.0063515752654692715,-0.0063515752654692715,-0.0063515752654692715,-0.0063515752654692715,-0.0063515752654692715,-0.0063515752654692715,-0.0063515752654692715,-0.0063515752654692715,-0.0063515752654692715,-0.0063515752654692715,-0.0063515752654692715
