36018.200 -0.022 0.012
36018.300 -0.021 0.009
36018.400 -0.019 0.005
36018.500 -0.019 0.000
36018.600 -0.019 -0.004
36018.700 -0.020 -0.008
36018.800 -0.022 -0.011
36018.900 -0.024 -0.014
36019.000 -0.027 -0.016
36019.100 -0.030 -0.017
36019.200 -0.033 -0.017
36019.300 -0.036 -0.016
36019.400 -0.039 -0.014
36019.500 -0.041 -0.011
36019.600 -0.043 -0.008
36019.700 -0.044 -0.004
36019.800 -0.044 0.001
36019.900 -0.043 0.005
36020.000 -0.042 0.009
36020.100 -0.040 0.012
36020.200 -0.038 0.015
36020.300 -0.035 0.017
36020.400 -0.032 0.017
36020.500 -0.029 0.017
36020.600 -0.026 0.016
36020.700 -0.024 0.014
36020.800 -0.021 0.010
36020.900 -0.020 0.007
36021.000 -0.019 0.003
36021.100 -0.019 -0.002
36021.200 -0.020 -0.006
36021.300 -0.021 -0.010
36021.400 -0.023 -0.013
36021.500 -0.025 -0.015
36021.600 -0.028 -0.017
36021.700 -0.031 -0.017
36021.800 -0.034 -0.017
36021.900 -0.037 -0.015
36022.000 -0.040 -0.013
36022.100 -0.042 -0.010
36022.200 -0.043 -0.006
36022.300 -0.044 -0.002
36022.400 -0.044 0.003
36022.500 -0.043 0.007
36022.600 -0.041 0.010
36022.700 -0.039 0.013
36022.800 -0.037 0.016
36022.900 -0.034 0.017
36023.000 -0.031 0.017
36023.100 -0.028 0.017
36023.200 -0.025 0.015
36023.300 -0.023 0.012
36023.400 -0.021 0.009
36023.500 -0.019 0.005
36023.600 -0.019 0.001
36023.700 -0.019 -0.004
36023.800 -0.020 -0.008
36023.900 -0.022 -0.011
36024.000 -0.024 -0.014
36024.100 -0.027 -0.016
36024.200 -0.030 -0.017
36024.300 -0.033 -0.017
36024.400 -0.036 -0.016
36024.500 -0.038 -0.014
36024.600 -0.041 -0.011
36024.700 -0.042 -0.008
36024.800 -0.043 -0.004
36024.900 -0.044 0.000
36025.000 -0.043 0.005
36025.100 -0.042 0.008
36025.200 -0.040 0.012
36025.300 -0.038 0.015
36025.400 -0.035 0.016
36025.500 -0.032 0.017
36025.600 -0.029 0.017
36025.700 -0.026 0.016
36025.800 -0.024 0.014
36025.900 -0.022 0.011
36026.000 -0.020 0.007
36026.100 -0.019 0.003
36026.200 -0.019 -0.001
36026.300 -0.020 -0.006
36026.400 -0.021 -0.009
36026.500 -0.023 -0.013
36026.600 -0.025 -0.015
36026.700 -0.028 -0.017
36026.800 -0.031 -0.017
36026.900 -0.034 -0.017
36027.000 -0.037 -0.015
